"","rid","答题开始时间","答题结束时间","答题时长","gender","rural","age","race","marriage","incomeFam","party","C1","C2","trustCourt","trustGover","trustLocal","X6a","X1b","X2b","X3b","X4b","X5b","X6b","M1__1","M2","M3","M4__1","M4__2","M4__3","M4__4","M4__5","M4__6","M5__1","M5__2","M5__3","M5__4","M6__1","M6__2","M6__3","M6__4","m4","m5","m6"
"1",248894442,2024-05-06 17:41:15,2024-05-06 18:13:07,1899-12-31 00:31:52,2,1,37,1,2,17,4,3,8,3,3,2,NA,1,2,3,4,2,4,6,1,1,2,3,2,3,3,3,2,2,2,1,2,2,3,3,2.66666666666667,1.75,2.5
"2",248894443,2024-05-06 21:42:38,2024-05-06 22:24:21,1899-12-31 00:41:43,1,1,36,1,2,17,4,3,7,3,3,3,NA,2,3,4,4,3,3,8,1,1,3,3,4,3,4,3,3,4,4,2,3,4,3,3,3.33333333333333,3.25,3.25
"3",248894984,2024-05-06 19:43:37,2024-05-06 20:25:45,1899-12-31 00:42:08,1,2,43,1,2,21,4,2,6,4,3,3,NA,2,2,3,3,3,3,9,3,1,3,3,3,3,2,2,3,4,3,4,3,4,3,4,2.66666666666667,3.5,3.5
"4",248895218,2024-05-06 20:32:54,2024-05-06 21:11:06,1899-12-31 00:38:12,2,1,53,1,2,20,4,2,6,2,4,2,NA,3,1,3,2,1,4,9,1,1,2,2,1,2,1,1,2,3,3,2,3,3,4,3,1.5,2.5,3.25
"5",248895245,2024-05-06 21:19:02,2024-05-06 21:55:42,1899-12-31 00:36:40,1,1,49,1,2,15,4,3,6,3,3,3,NA,3,2,2,3,3,3,9,2,1,3,2,4,3,2,2,3,4,3,2,3,4,3,4,2.66666666666667,3,3.5
"6",248895267,2024-05-06 17:30:50,2024-05-06 18:04:24,1899-12-31 00:33:34,2,2,34,1,2,19,4,3,4,3,3,3,NA,3,2,3,3,3,2,9,2,1,3,4,3,3,4,3,3,2,3,3,2,3,3,3,3.33333333333333,2.75,2.75
"7",248895278,2024-05-07 09:31:40,2024-05-07 10:08:49,1899-12-31 00:37:09,2,1,33,1,2,19,4,1,7,4,4,4,NA,3,3,2,3,2,3,9,2,1,2,2,1,3,2,3,2,3,1,2,4,4,3,4,2.16666666666667,2,3.75
"8",248895500,2024-05-07 13:45:27,2024-05-07 14:13:21,1899-12-31 00:27:54,1,2,42,1,2,17,4,3,5,4,4,4,NA,3,3,2,3,3,1,9,1,1,3,3,4,4,3,3,4,3,4,3,4,3,3,4,3.33333333333333,3.5,3.5
"9",248895851,2024-05-07 10:05:39,2024-05-07 10:37:25,1899-12-31 00:31:46,1,2,34,1,2,16,4,2,6,4,4,3,NA,3,3,3,3,2,2,5,3,1,3,4,4,3,3,4,3,4,3,4,3,4,4,3,3.5,3.5,3.5
"10",248895928,2024-05-07 09:09:21,2024-05-07 09:43:58,1899-12-31 00:34:37,2,2,32,1,2,21,4,4,5,4,4,3,NA,1,2,1,2,4,2,7,2,1,2,4,3,3,3,4,2,4,3,1,4,4,4,4,3.16666666666667,2.5,4
"11",248896314,2024-05-07 13:50:50,2024-05-07 14:17:19,1899-12-31 00:26:29,1,2,40,1,2,17,4,1,7,4,4,3,NA,3,3,2,2,2,1,9,2,2,2,3,2,4,2,4,2,3,2,2,3,4,4,3,2.83333333333333,2.25,3.5
"12",248896445,2024-05-07 12:20:13,2024-05-07 12:56:29,1899-12-31 00:36:16,2,2,46,1,2,20,4,3,7,3,3,3,NA,2,2,2,2,2,4,9,2,1,1,2,2,2,1,2,2,1,2,2,3,3,4,3,1.66666666666667,1.75,3.25
"13",248896477,2024-05-07 11:45:17,2024-05-07 12:14:11,1899-12-31 00:28:54,1,2,54,1,2,15,1,3,7,3,3,3,NA,1,3,2,3,4,4,8,2,1,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2.83333333333333,2.75,3
"14",248896487,2024-05-07 13:52:19,2024-05-07 14:19:10,1899-12-31 00:26:51,2,2,34,1,2,7,4,2,7,3,4,3,NA,2,2,3,3,4,3,9,3,1,2,2,2,2,1,2,2,3,3,2,4,3,4,3,1.83333333333333,2.5,3.5
"15",248896680,2024-05-07 14:11:26,2024-05-07 14:42:35,1899-12-31 00:31:09,2,2,40,1,2,21,4,2,7,3,4,3,NA,3,2,4,2,1,3,9,1,1,2,1,2,3,3,2,2,3,3,2,3,4,3,3,2.16666666666667,2.5,3.25
"16",248896925,2024-05-07 10:15:25,2024-05-07 10:42:33,1899-12-31 00:27:08,1,1,47,1,2,16,4,2,3,3,1,2,NA,3,1,4,2,1,3,8,2,2,3,2,3,2,2,2,3,2,3,3,3,3,4,3,2.33333333333333,2.75,3.25
"17",248897176,2024-05-07 11:49:15,2024-05-07 12:20:27,1899-12-31 00:31:12,1,2,41,1,2,15,4,3,7,3,3,3,NA,1,2,2,2,3,3,8,1,1,2,2,2,3,2,1,1,3,1,1,3,3,3,3,2,1.5,3
